query,top_match,confidence,above_threshold,runners_up
does Google make us forget things,The Google effect on memory,0.663,yes,Personalisation and why your results differ 0.364; Artificial Intelligence and Search Engines 0.329
what is the Google effect on memory,The Google effect on memory,0.746,yes,Microplastics 0.314; Personalisation and why your results differ 0.296
does searching weaken memory,The Google effect on memory,0.658,yes,Artificial Intelligence and Search Engines 0.318; Personalisation and why your results differ 0.312
do we remember less because of the internet,The Google effect on memory,0.545,yes,Internet censorship 0.314; Government control of the internet 0.280
digital amnesia explained,The Google effect on memory,0.414,yes,Digital detox 0.346; Digital ID programs 0.335
where do AI models get their training data,Training data and the open web,0.636,yes,AI data privacy 0.502; AI in medicine 0.470
did AI scrape my website,Training data and the open web,0.502,yes,AI data privacy 0.479; AI Overviews and generative search 0.437
do AI answers reduce website traffic,Training data and the open web,0.678,yes,AI policing 0.553; Generative engine optimisation 0.546
is AI trained on copyrighted content,AI data privacy,0.604,yes,Training data and the open web 0.603; AI policing 0.553
what happens to the open web when AI answers everything,Training data and the open web,0.762,yes,AI data privacy 0.482; AI Overviews and generative search 0.471
how does Twitter decide what is trending,Trending and what counts as trending,0.579,yes,Social media 0.460; Social media algorithms 0.455
what does trending actually mean,Trending and what counts as trending,0.661,yes,How results are ranked 0.278; Algorithmic bias in news feeds 0.250
can trending topics be faked,Trending and what counts as trending,0.576,yes,Fake news 0.462; Fake historical events 0.430
how do hashtags start trending,Trending and what counts as trending,0.464,yes,Social media algorithms 0.213; Concentration and defaults 0.184
why is this trending right now,Trending and what counts as trending,0.496,yes,Algorithmic bias in news feeds 0.372; Modern media propaganda 0.299
how does Alexa choose its answer,Voice assistants and the single spoken answer,0.535,yes,Training data and the open web 0.346; Asking a chatbot instead of searching 0.322
where does Siri get its answers from,Voice assistants and the single spoken answer,0.411,yes,Training data and the open web 0.356; AI Overviews and generative search 0.349
why does the voice assistant give only one answer,Voice assistants and the single spoken answer,0.666,yes,Asking a chatbot instead of searching 0.305; AI Overviews and generative search 0.221
can I trust what Google Assistant tells me,Voice assistants and the single spoken answer,0.451,yes,AI data privacy 0.384; Ad tracking ethics 0.382
does voice search show its sources,Voice assistants and the single spoken answer,0.616,yes,Autocomplete and query suggestions 0.395; Artificial Intelligence and Search Engines 0.375
how reliable is Wikipedia,Wikipedia and how online knowledge is made,0.632,yes,Fact-checking 0.337; Children and search 0.289
who actually writes Wikipedia,Wikipedia and how online knowledge is made,0.576,yes,Modern media propaganda 0.312; Algorithmic bias in news feeds 0.304
what is a Wikipedia talk page,Wikipedia and how online knowledge is made,0.535,yes,Asking a chatbot instead of searching 0.309; Social media algorithms 0.301
can I trust Wikipedia for facts,Wikipedia and how online knowledge is made,0.654,yes,Fact-checking 0.462; Fake historical events 0.370
how do Wikipedia edit wars work,Wikipedia and how online knowledge is made,0.534,yes,Gene editing 0.295; New World Order 0.255
